step,metric_value,label,metric_name
0,23284.3132,high molecular,Molecular Weight
1,23987.37190000001,high molecular,Molecular Weight
2,24184.709600000017,high molecular,Molecular Weight
3,24498.361100000024,high molecular,Molecular Weight
4,24897.21980000002,high molecular,Molecular Weight
5,25273.935300000026,high molecular,Molecular Weight
6,25248.948000000022,high molecular,Molecular Weight
7,25467.339700000022,high molecular,Molecular Weight
8,25605.386000000028,high molecular,Molecular Weight
9,25784.843900000033,high molecular,Molecular Weight
10,25954.220300000037,high molecular,Molecular Weight
11,26249.57790000004,high molecular,Molecular Weight
12,26548.058800000046,high molecular,Molecular Weight
13,26580.271200000047,high molecular,Molecular Weight
14,26477.26430000005,high molecular,Molecular Weight
15,26594.548100000047,high molecular,Molecular Weight
16,26621.605100000048,high molecular,Molecular Weight
17,26633.67550000005,high molecular,Molecular Weight
18,26786.887300000053,high molecular,Molecular Weight
19,26836.904800000048,high molecular,Molecular Weight
20,27035.185400000046,high molecular,Molecular Weight
21,27171.383000000053,high molecular,Molecular Weight
22,27197.591000000048,high molecular,Molecular Weight
23,27098.373800000045,high molecular,Molecular Weight
24,26998.24820000005,high molecular,Molecular Weight
25,26972.28860000005,high molecular,Molecular Weight
26,27085.41670000005,high molecular,Molecular Weight
27,27356.878700000052,high molecular,Molecular Weight
28,27571.198100000052,high molecular,Molecular Weight
29,27710.315100000054,high molecular,Molecular Weight
30,27657.300700000054,high molecular,Molecular Weight
31,27551.17530000005,high molecular,Molecular Weight
32,27549.31020000005,high molecular,Molecular Weight
33,27664.51020000005,high molecular,Molecular Weight
34,27582.510600000052,high molecular,Molecular Weight
35,27563.568600000053,high molecular,Molecular Weight
36,27626.53830000006,high molecular,Molecular Weight
37,27637.647100000064,high molecular,Molecular Weight
38,27747.749800000063,high molecular,Molecular Weight
39,27736.69070000006,high molecular,Molecular Weight
40,27847.75810000006,high molecular,Molecular Weight
41,27598.41400000006,high molecular,Molecular Weight
42,27697.46890000006,high molecular,Molecular Weight
43,27708.475000000064,high molecular,Molecular Weight
44,27570.26150000006,high molecular,Molecular Weight
45,27492.189500000062,high molecular,Molecular Weight
46,27253.99580000006,high molecular,Molecular Weight
47,27330.008900000063,high molecular,Molecular Weight
48,27142.882100000064,high molecular,Molecular Weight
49,27126.859700000066,high molecular,Molecular Weight
50,27263.965900000065,high molecular,Molecular Weight
51,27268.98580000006,high molecular,Molecular Weight
52,27350.841200000057,high molecular,Molecular Weight
53,27377.780200000056,high molecular,Molecular Weight
