step,metric_value,label,metric_name
0,23505.158600000028,high molecular,Molecular Weight
1,23678.910800000034,high molecular,Molecular Weight
2,23997.973300000038,high molecular,Molecular Weight
3,24381.294600000052,high molecular,Molecular Weight
4,24653.45110000005,high molecular,Molecular Weight
5,24527.210500000052,high molecular,Molecular Weight
6,24865.48170000006,high molecular,Molecular Weight
7,25237.02060000006,high molecular,Molecular Weight
8,25640.51370000006,high molecular,Molecular Weight
9,25913.853900000064,high molecular,Molecular Weight
10,26315.205300000067,high molecular,Molecular Weight
11,26775.812600000063,high molecular,Molecular Weight
12,26569.693700000054,high molecular,Molecular Weight
13,26796.917400000057,high molecular,Molecular Weight
14,27007.128900000058,high molecular,Molecular Weight
15,27381.53790000006,high molecular,Molecular Weight
16,27347.469900000047,high molecular,Molecular Weight
17,27055.98530000005,high molecular,Molecular Weight
18,26949.734300000047,high molecular,Molecular Weight
19,26662.372500000038,high molecular,Molecular Weight
20,26470.979300000035,high molecular,Molecular Weight
21,26746.37330000004,high molecular,Molecular Weight
22,26716.22800000004,high molecular,Molecular Weight
23,27002.57150000004,high molecular,Molecular Weight
24,26904.43030000004,high molecular,Molecular Weight
25,26472.94660000003,high molecular,Molecular Weight
26,26506.10550000003,high molecular,Molecular Weight
27,26493.96220000002,high molecular,Molecular Weight
28,26544.803800000023,high molecular,Molecular Weight
29,27157.504000000034,high molecular,Molecular Weight
30,26917.208600000034,high molecular,Molecular Weight
31,26969.139400000036,high molecular,Molecular Weight
32,27233.474300000034,high molecular,Molecular Weight
33,27212.587600000035,high molecular,Molecular Weight
34,27113.370900000045,high molecular,Molecular Weight
35,27244.462600000057,high molecular,Molecular Weight
36,27051.177400000062,high molecular,Molecular Weight
37,26632.725800000055,high molecular,Molecular Weight
38,26695.69080000006,high molecular,Molecular Weight
39,26645.673300000053,high molecular,Molecular Weight
40,26729.873500000056,high molecular,Molecular Weight
41,26696.83220000005,high molecular,Molecular Weight
42,26546.654500000048,high molecular,Molecular Weight
43,26437.588100000048,high molecular,Molecular Weight
44,26512.78490000005,high molecular,Molecular Weight
45,26754.15260000005,high molecular,Molecular Weight
46,26620.916300000044,high molecular,Molecular Weight
47,26733.890000000043,high molecular,Molecular Weight
48,26307.427800000034,high molecular,Molecular Weight
49,26102.226000000028,high molecular,Molecular Weight
