step,metric_value,label,metric_name
0,24045.30140000002,high molecular,Molecular Weight
1,24301.170600000023,high molecular,Molecular Weight
2,24617.37460000003,high molecular,Molecular Weight
3,24676.178600000032,high molecular,Molecular Weight
4,24899.491500000036,high molecular,Molecular Weight
5,25431.899900000044,high molecular,Molecular Weight
6,25670.96190000005,high molecular,Molecular Weight
7,25830.17110000005,high molecular,Molecular Weight
8,26100.359900000058,high molecular,Molecular Weight
9,26343.573000000055,high molecular,Molecular Weight
10,26384.593500000057,high molecular,Molecular Weight
11,26530.74810000006,high molecular,Molecular Weight
12,26577.614300000063,high molecular,Molecular Weight
13,26646.636300000057,high molecular,Molecular Weight
14,26873.85150000005,high molecular,Molecular Weight
15,27125.090000000055,high molecular,Molecular Weight
16,27579.438000000053,high molecular,Molecular Weight
17,27649.466500000053,high molecular,Molecular Weight
18,27616.471300000052,high molecular,Molecular Weight
19,27925.85150000006,high molecular,Molecular Weight
20,27487.158600000053,high molecular,Molecular Weight
21,27644.32330000006,high molecular,Molecular Weight
22,27348.006100000053,high molecular,Molecular Weight
23,27418.018300000058,high molecular,Molecular Weight
24,27042.498800000056,high molecular,Molecular Weight
25,26965.324000000055,high molecular,Molecular Weight
26,26831.01660000005,high molecular,Molecular Weight
27,26751.853700000058,high molecular,Molecular Weight
28,26728.997500000063,high molecular,Molecular Weight
29,26932.318800000063,high molecular,Molecular Weight
30,27039.362500000065,high molecular,Molecular Weight
31,26950.214800000063,high molecular,Molecular Weight
32,26886.21410000007,high molecular,Molecular Weight
33,26866.131700000067,high molecular,Molecular Weight
34,27045.31240000006,high molecular,Molecular Weight
35,27228.607600000065,high molecular,Molecular Weight
36,27324.643500000067,high molecular,Molecular Weight
37,27189.518300000065,high molecular,Molecular Weight
38,27123.46840000007,high molecular,Molecular Weight
39,27236.590900000065,high molecular,Molecular Weight
40,27144.583000000064,high molecular,Molecular Weight
41,26843.20310000006,high molecular,Molecular Weight
42,26535.98730000006,high molecular,Molecular Weight
43,26548.86680000005,high molecular,Molecular Weight
44,26375.429300000054,high molecular,Molecular Weight
45,26085.98580000005,high molecular,Molecular Weight
46,26433.289900000054,high molecular,Molecular Weight
47,26332.137700000054,high molecular,Molecular Weight
48,25908.75060000005,high molecular,Molecular Weight
49,25846.85340000005,high molecular,Molecular Weight
50,25784.78590000005,high molecular,Molecular Weight
51,25933.95570000005,high molecular,Molecular Weight
52,26454.438300000056,high molecular,Molecular Weight
53,26410.274800000054,high molecular,Molecular Weight
54,26131.76960000005,high molecular,Molecular Weight
55,26096.606600000054,high molecular,Molecular Weight
56,26220.805000000062,high molecular,Molecular Weight
57,26133.810400000064,high molecular,Molecular Weight
58,25936.662200000057,high molecular,Molecular Weight
59,25898.81490000006,high molecular,Molecular Weight
60,26087.05690000006,high molecular,Molecular Weight
61,26497.62520000007,high molecular,Molecular Weight
62,26150.29410000006,high molecular,Molecular Weight
63,25873.849100000058,high molecular,Molecular Weight
64,25867.732000000058,high molecular,Molecular Weight
65,25478.111700000056,high molecular,Molecular Weight
66,25503.085000000057,high molecular,Molecular Weight
67,25365.95410000006,high molecular,Molecular Weight
68,25350.90660000006,high molecular,Molecular Weight
69,25568.201700000063,high molecular,Molecular Weight
70,25437.02250000006,high molecular,Molecular Weight
71,25495.161000000062,high molecular,Molecular Weight
72,25478.148700000052,high molecular,Molecular Weight
73,25545.239500000054,high molecular,Molecular Weight
74,25924.852300000057,high molecular,Molecular Weight
75,26072.136700000057,high molecular,Molecular Weight
76,26037.077500000047,high molecular,Molecular Weight
77,26399.594800000046,high molecular,Molecular Weight
78,26211.36610000005,high molecular,Molecular Weight
79,26131.26020000005,high molecular,Molecular Weight
80,26101.08040000005,high molecular,Molecular Weight
81,26006.020600000047,high molecular,Molecular Weight
82,25950.996700000043,high molecular,Molecular Weight
83,25494.374600000046,high molecular,Molecular Weight
84,25589.47710000004,high molecular,Molecular Weight
85,25641.596100000046,high molecular,Molecular Weight
86,25697.686100000043,high molecular,Molecular Weight
87,25683.69620000005,high molecular,Molecular Weight
88,26090.284000000043,high molecular,Molecular Weight
89,26234.393000000047,high molecular,Molecular Weight
90,26160.236700000045,high molecular,Molecular Weight
91,26380.70130000005,high molecular,Molecular Weight
