step,metric_value,label,metric_name
0,23283.54570000002,high molecular,Molecular Weight
1,23086.27160000001,high molecular,Molecular Weight
2,23280.493500000008,high molecular,Molecular Weight
3,23232.119099999996,high molecular,Molecular Weight
4,23004.915199999992,high molecular,Molecular Weight
5,22725.421799999996,high molecular,Molecular Weight
6,22603.484099999994,high molecular,Molecular Weight
7,22566.17119999999,high molecular,Molecular Weight
8,22590.12649999999,high molecular,Molecular Weight
9,22694.307199999996,high molecular,Molecular Weight
10,22649.336599999995,high molecular,Molecular Weight
11,22735.472400000006,high molecular,Molecular Weight
12,22499.39390000001,high molecular,Molecular Weight
13,22364.300700000007,high molecular,Molecular Weight
14,22306.34610000001,high molecular,Molecular Weight
15,21966.81850000001,high molecular,Molecular Weight
16,21956.956100000007,high molecular,Molecular Weight
17,22313.457900000012,high molecular,Molecular Weight
18,22396.68070000001,high molecular,Molecular Weight
19,22512.898400000013,high molecular,Molecular Weight
20,22801.413700000012,high molecular,Molecular Weight
21,22765.164700000012,high molecular,Molecular Weight
22,22574.858700000015,high molecular,Molecular Weight
23,22664.852300000017,high molecular,Molecular Weight
24,22423.347300000012,high molecular,Molecular Weight
25,22222.96500000001,high molecular,Molecular Weight
26,22030.85350000001,high molecular,Molecular Weight
27,22057.890300000006,high molecular,Molecular Weight
28,22249.565300000006,high molecular,Molecular Weight
29,22144.407900000002,high molecular,Molecular Weight
30,22082.214299999996,high molecular,Molecular Weight
31,22283.672299999995,high molecular,Molecular Weight
32,22117.625699999993,high molecular,Molecular Weight
33,22274.56109999999,high molecular,Molecular Weight
34,22256.730999999992,high molecular,Molecular Weight
35,22207.59929999999,high molecular,Molecular Weight
36,22477.79989999999,high molecular,Molecular Weight
37,22708.279099999992,high molecular,Molecular Weight
38,22718.391299999996,high molecular,Molecular Weight
39,22841.616199999993,high molecular,Molecular Weight
40,22747.686699999987,high molecular,Molecular Weight
41,22491.383799999992,high molecular,Molecular Weight
42,22456.379199999996,high molecular,Molecular Weight
43,22430.371799999994,high molecular,Molecular Weight
44,22305.13559999999,high molecular,Molecular Weight
45,22320.185299999997,high molecular,Molecular Weight
46,22292.236599999997,high molecular,Molecular Weight
47,22221.1159,high molecular,Molecular Weight
48,21924.639300000003,high molecular,Molecular Weight
49,21817.379900000007,high molecular,Molecular Weight
50,21878.426600000006,high molecular,Molecular Weight
51,21862.354100000008,high molecular,Molecular Weight
52,21876.45210000001,high molecular,Molecular Weight
53,21741.285600000007,high molecular,Molecular Weight
54,21788.120000000003,high molecular,Molecular Weight
55,21715.047699999996,high molecular,Molecular Weight
56,21852.281800000004,high molecular,Molecular Weight
57,21599.806800000002,high molecular,Molecular Weight
58,21677.038000000004,high molecular,Molecular Weight
59,21546.620100000007,high molecular,Molecular Weight
60,21585.629400000005,high molecular,Molecular Weight
61,21304.335000000006,high molecular,Molecular Weight
62,21294.2306,high molecular,Molecular Weight
63,21257.114500000003,high molecular,Molecular Weight
64,21232.072300000003,high molecular,Molecular Weight
65,20808.5411,high molecular,Molecular Weight
66,20877.712499999998,high molecular,Molecular Weight
67,21078.807899999996,high molecular,Molecular Weight
68,21396.159399999993,high molecular,Molecular Weight
69,21568.445299999996,high molecular,Molecular Weight
70,21851.861399999994,high molecular,Molecular Weight
71,21759.8011,high molecular,Molecular Weight
72,21703.732800000005,high molecular,Molecular Weight
73,21789.023000000005,high molecular,Molecular Weight
74,21634.840400000012,high molecular,Molecular Weight
75,21621.866600000016,high molecular,Molecular Weight
76,21388.60010000001,high molecular,Molecular Weight
77,21458.71660000001,high molecular,Molecular Weight
78,21188.481200000006,high molecular,Molecular Weight
79,21342.642699999997,high molecular,Molecular Weight
80,21268.499599999992,high molecular,Molecular Weight
81,20965.078499999992,high molecular,Molecular Weight
82,20825.046199999993,high molecular,Molecular Weight
83,20924.092699999987,high molecular,Molecular Weight
84,21235.441299999988,high molecular,Molecular Weight
85,20917.190899999983,high molecular,Molecular Weight
86,20893.23579999998,high molecular,Molecular Weight
87,21167.431699999986,high molecular,Molecular Weight
88,21121.36189999998,high molecular,Molecular Weight
89,21557.830799999974,high molecular,Molecular Weight
90,21576.79159999998,high molecular,Molecular Weight
91,21773.001599999985,high molecular,Molecular Weight
92,21374.48109999999,high molecular,Molecular Weight
93,21208.192899999987,high molecular,Molecular Weight
94,21166.235099999987,high molecular,Molecular Weight
95,21361.419999999987,high molecular,Molecular Weight
96,21636.899899999982,high molecular,Molecular Weight
97,21613.821799999987,high molecular,Molecular Weight
98,21530.791299999986,high molecular,Molecular Weight
99,21490.76539999999,high molecular,Molecular Weight
100,21477.85799999999,high molecular,Molecular Weight
