step,metric_value,label,metric_name
0,24297.50180000003,high molecular,Molecular Weight
1,23978.14140000002,high molecular,Molecular Weight
2,23683.789000000015,high molecular,Molecular Weight
3,23961.20740000001,high molecular,Molecular Weight
4,23900.382600000004,high molecular,Molecular Weight
5,23837.310100000002,high molecular,Molecular Weight
6,23780.381100000002,high molecular,Molecular Weight
7,23739.339600000007,high molecular,Molecular Weight
8,23303.68179999999,high molecular,Molecular Weight
9,23289.559400000002,high molecular,Molecular Weight
10,23148.499400000004,high molecular,Molecular Weight
11,23187.663300000004,high molecular,Molecular Weight
12,22898.494500000004,high molecular,Molecular Weight
13,23112.597100000003,high molecular,Molecular Weight
14,22943.2819,high molecular,Molecular Weight
15,22862.038900000014,high molecular,Molecular Weight
16,22741.06750000001,high molecular,Molecular Weight
17,22837.986100000013,high molecular,Molecular Weight
18,22665.796300000013,high molecular,Molecular Weight
19,22726.69760000001,high molecular,Molecular Weight
20,22914.26130000001,high molecular,Molecular Weight
21,22684.003700000005,high molecular,Molecular Weight
22,22584.96070000001,high molecular,Molecular Weight
23,22651.121100000015,high molecular,Molecular Weight
24,22845.15090000002,high molecular,Molecular Weight
25,22903.316100000022,high molecular,Molecular Weight
26,23116.55450000002,high molecular,Molecular Weight
27,22950.67360000002,high molecular,Molecular Weight
28,23117.824200000025,high molecular,Molecular Weight
29,22969.331000000024,high molecular,Molecular Weight
30,22941.291100000028,high molecular,Molecular Weight
31,23010.53350000003,high molecular,Molecular Weight
32,22798.16710000003,high molecular,Molecular Weight
33,22750.09490000003,high molecular,Molecular Weight
34,22860.398800000024,high molecular,Molecular Weight
35,22850.43550000002,high molecular,Molecular Weight
36,22952.61800000002,high molecular,Molecular Weight
37,23173.034200000024,high molecular,Molecular Weight
38,23311.448200000028,high molecular,Molecular Weight
39,23532.644700000033,high molecular,Molecular Weight
40,23531.803900000035,high molecular,Molecular Weight
41,23491.650600000034,high molecular,Molecular Weight
42,23611.813800000033,high molecular,Molecular Weight
43,23591.67710000003,high molecular,Molecular Weight
44,23750.053700000033,high molecular,Molecular Weight
45,23709.817600000035,high molecular,Molecular Weight
46,23589.57440000003,high molecular,Molecular Weight
47,23589.60410000003,high molecular,Molecular Weight
48,23499.425600000028,high molecular,Molecular Weight
49,23559.422800000026,high molecular,Molecular Weight
50,23626.730800000038,high molecular,Molecular Weight
51,23926.950500000035,high molecular,Molecular Weight
52,23541.60260000003,high molecular,Molecular Weight
53,23460.809200000032,high molecular,Molecular Weight
54,23014.375700000026,high molecular,Molecular Weight
55,22776.09450000003,high molecular,Molecular Weight
56,22719.86770000002,high molecular,Molecular Weight
57,22892.254600000026,high molecular,Molecular Weight
58,22809.176400000026,high molecular,Molecular Weight
59,22619.995700000025,high molecular,Molecular Weight
60,22764.09770000002,high molecular,Molecular Weight
61,22893.41500000002,high molecular,Molecular Weight
62,22914.437400000013,high molecular,Molecular Weight
63,23023.520200000014,high molecular,Molecular Weight
64,22971.37260000001,high molecular,Molecular Weight
65,22952.32320000001,high molecular,Molecular Weight
66,22890.378000000004,high molecular,Molecular Weight
67,22860.087200000005,high molecular,Molecular Weight
68,22686.579900000008,high molecular,Molecular Weight
69,22661.749300000003,high molecular,Molecular Weight
70,22970.24230000001,high molecular,Molecular Weight
71,22853.168800000014,high molecular,Molecular Weight
72,22656.69590000001,high molecular,Molecular Weight
73,22558.491600000012,high molecular,Molecular Weight
74,22430.47980000001,high molecular,Molecular Weight
75,22330.313100000007,high molecular,Molecular Weight
76,22601.688800000025,high molecular,Molecular Weight
77,22493.41000000002,high molecular,Molecular Weight
78,22350.499500000024,high molecular,Molecular Weight
79,22693.64130000003,high molecular,Molecular Weight
80,22492.400500000025,high molecular,Molecular Weight
81,22221.94170000002,high molecular,Molecular Weight
82,22299.156700000018,high molecular,Molecular Weight
83,22421.453000000012,high molecular,Molecular Weight
84,22523.69690000001,high molecular,Molecular Weight
85,22538.688300000016,high molecular,Molecular Weight
86,22390.303300000014,high molecular,Molecular Weight
87,22397.33520000002,high molecular,Molecular Weight
88,22391.376900000017,high molecular,Molecular Weight
89,22525.360200000025,high molecular,Molecular Weight
90,22415.410000000033,high molecular,Molecular Weight
91,22521.679700000033,high molecular,Molecular Weight
92,22516.580800000032,high molecular,Molecular Weight
93,22647.59120000004,high molecular,Molecular Weight
94,22752.787900000036,high molecular,Molecular Weight
95,22472.27950000003,high molecular,Molecular Weight
96,22207.908000000025,high molecular,Molecular Weight
