neuron_id,explanation_1,explanation_2
layer_0_neuron_12,Strongly activates for secreted conotoxins with neurotoxin activity and varying hydrophobicity.,Strongly activates for secreted conotoxins with toxin activity and varied charge properties.
layer_0_neuron_11,Strongly activates for proteins with negative gravy scores involved in structural and functional cellular components.,Strongly activates for proteins with negative gravy scores involved in structural and functional roles in muscle or cytoskeletal components.
layer_0_neuron_3,Strongly activates for secreted proteins with antifungal or regulatory neuropeptide functions.,Strongly activates for secreted proteins with significant regulatory or toxic functions.
layer_0_neuron_21,Strongly activates for secreted neuropeptides with high instability indices.,Strongly activates for secreted neuropeptides involved in calcium channel regulation and neuropeptide signaling pathways.
layer_0_neuron_15,"Strongly activates for proteins with high molecular weights and negative gravy scores, specifically sperm protamines involved in chromosome condensation and DNA binding.",Strongly activates for sperm protamines with high instability indices and negative gravy scores.
layer_0_neuron_7,Strongly activates for proteins with high charge at pH 7 and varying degrees of secondary structure.,Strongly activates for proteins with high charge at pH 7 and significant turn fractions.
layer_0_neuron_24,Strongly activates for sequences of proteins with low isoelectric points and negative gravy scores.,"""Strongly activates for sequences of membrane proteins with high instability indices and negative gravy scores."""
layer_0_neuron_0,Strongly activates for proteins with high molecular weight and negative gravy scores.,"""Strongly activates for proteins with high molecular weight and negative gravy scores."""
layer_0_neuron_29,Strongly activates for proteins that are multi-pass membrane proteins involved in mitochondrial electron transport as NADH dehydrogenase.,Strongly activates for multi-pass membrane proteins involved in mitochondrial electron transport with relatively high hydrophobicity.
layer_0_neuron_18,"Strongly activates for proteins with high molecular weight, variable isoelectric points, and diverse secondary structure compositions.",Strongly activates for proteins with high molecular weight and significant helix fractions.
layer_0_neuron_19,Strongly activates for proteins with high molecular weights and significant sheet percentage.,Strongly activates for proteins with high isolectric points and significant sheet fractions.
layer_0_neuron_31,Strongly activates for secreted proteins displaying antimicrobial or neuropeptide activity with high molecular weights.,Strongly activates for secreted proteins with antimicrobial or neuropeptide functions and high Boman indices.
layer_0_neuron_26,Strongly activates for capsid proteins of Torque teno virus with negative gravy scores.,"Strongly activates for capsid proteins associated with Torque teno virus, with negative gravy scores and significant charge at pH 7."
layer_0_neuron_10,"Strongly activates for sequences with high GRAVY scores, indicating hydrophobic character.",Strongly activates for proteins with high hydrophobicity (gravy > 1) and significant sheet fraction (average > 0.5).
layer_0_neuron_1,Strongly activates for male-specific sperm proteins and keratin-associated proteins with high molecular weights and positive charge at pH 7.,"Strongly activates for proteins associated with spermatogenesis and structural functions, exhibiting high molecular weight and substantial positive charge at pH 7."
layer_0_neuron_14,"Strongly activates for proteins with high molecular weights, negative gravy scores, and significant helices and sheets.",Strongly activates for proteins with significant helix and sheet fractions involved in cellular structural functions.
layer_0_neuron_13,Strongly activates for proteins with low gravy scores and high turn fractions.,Strongly activates for proteins with high turn fractions and negative gravy scores.
layer_0_neuron_4,Strongly activates for nucleoporins with high molecular weights and negative gravy scores.,"Strongly activates for proteins associated with nuclear pore complex function and mRNA transport, characterized by low gravy scores and varying molar weights."
layer_0_neuron_23,Strongly activates for proteins with high molecular weights and positive charge at pH 7.,Strongly activates for low-gravy proteins with high molecular weights and instability indices.
layer_0_neuron_17,Strongly activates for multi-pass membrane proteins involved in NADH dehydrogenase activity within the mitochondrial membrane.,Strongly activates for multi-pass membrane proteins involved in the mitochondrial respiratory chain with NADH dehydrogenase activity.
layer_0_neuron_2,Strongly activates for proteins with high charge at pH 7 and variability in molecular weight.,Strongly activates for proteins with secreted locations and significant charge at pH 7.
layer_0_neuron_22,Strongly activates for proteins with high charge at pH 7 and negative gravy scores.,Strongly activates for proteins with high charge at pH 7 and negative gravy scores.
layer_0_neuron_20,Strongly activates for small proline-rich proteins involved in epidermis development and keratinization with negative gravy scores.,Strongly activates for proline-rich proteins involved in epidermis development and keratinization with negative gravy scores.
layer_0_neuron_16,Strongly activates for proteins with high positive charge at pH 7 and low to negative gravy scores.,Strongly activates for proteins with low to negative gravy scores and varying helix and turn fractions.
layer_0_neuron_8,Strongly activates for proteins with low gravy scores and high charge at pH 7.,Strongly activates for proteins with low gravy scores and high charge at pH 7.
layer_0_neuron_5,Strongly activates for multi-pass membrane proteins involved in chemotaxis and signal transduction.,Strongly activates for multi-pass membrane proteins involved in chemotaxis and signal transduction.
layer_0_neuron_27,Strongly activates for proteins with high instability indices and negative gravy scores.,Strongly activates for proteins with negative gravy scores and high isolectric points involved in DNA binding and chromatin condensation.
layer_0_neuron_25,Strongly activates for proteins with high charge at pH 7 and significant helix fractions.,Strongly activates for proteins with high charge at pH 7 and significant helix fractions.
layer_0_neuron_28,Strongly activates for proteins with negative gravy scores and high charge at pH 7.,Strongly activates for proteins with a high molar mass and negative gravy scores.
layer_0_neuron_6,Strongly activates for secreted proteins with toxin activity and varied isoelectric points.,Strongly activates for secreted proteins with toxin activity and varying isoelectric points.
layer_0_neuron_30,Strongly activates for proteins with high molecular weights and negative gravy scores.,Strongly activates for sequences of proteins with high helix and sheet fractions involved in structural functions.
layer_0_neuron_9,Strongly activates for proteins with high charge at pH7 and low gravy scores.,Strongly activates for proteins with high turn fractions and low gravy scores.
layer_0_neuron_34,"Strongly activates for proteins with high positive charge and low hydrophobicity, primarily involved in DNA binding and chromatin condensation.",Strongly activates for proteins with high charge at pH 7 and significant helical content.
layer_0_neuron_32,"""Strongly activates for proteins with negative gravy scores and significant helix or turn fractions.""","Strongly activates for proteins with low gravy scores indicating hydrophilicity and significant structural features such as helices, turns, and sheets."
layer_0_neuron_42,Strongly activates for proteins with high molecular weights and low gravy scores.,Strongly activates for proteins with high helix fractions and structural roles in cuticle formation.
layer_0_neuron_35,Strongly activates for secreted proteins with negative gravy scores that function as structural components of the primary cell wall.,Strongly activates for extensins and similar glycoproteins involved in structural functions of the primary cell wall with negative gravy scores.
layer_0_neuron_45,Strongly activates for multi-pass membrane proteins involved in mitochondrial functions.,Strongly activates for multi-pass membrane proteins with high hydrophobicity and significant beta-sheet content.
layer_0_neuron_36,Strongly activates for protamines with high molecular weight and negative gravy scores.,Strongly activates for protamines involved in DNA binding during spermatogenesis with high molecular weight and a negative gravy score.
layer_0_neuron_52,Strongly activates for secreted proteins with high molecular weights and a positive gravy score.,Strongly activates for secreted proteins with high molecular weight and positive gravy scores.
layer_0_neuron_60,Strongly activates for secreted adhesive proteins with high molecular weight and negative gravy scores.,"""Strongly activates for secreted proteins with low gravy scores and significant structural roles in adhesion or cell wall organization."""
layer_0_neuron_51,Strongly activates for proteins with high charge at pH 7 and low gravy scores.,Strongly activates for proteins with low gravy scores and high charge at pH 7.
layer_0_neuron_48,"Strongly activates for proteins with high molecular weights and negative gravy scores, predominantly associating with muscle contraction and translation initiation functions.",Strongly activates for translation initiation factors with negative gravy scores and high helix fractions.
layer_0_neuron_44,Strongly activates for sequences of multi-pass membrane proteins with high helix and sheet fractions.,"""Strongly activates for sequences of proteins associated with membrane localization and significant hydrophobicity."""
layer_0_neuron_43,"Strongly activates for proteins with high molecular weight and positive gravy scores, indicating a preference for hydrophobic membrane proteins.","Strongly activates for proteins with high molecular weights, primarily associated with structural roles in membranes or cell walls."
layer_0_neuron_56,Strongly activates for multi-pass membrane proteins with high molecular weights and diverse secondary structure compositions.,Strongly activates for proteins of various molecular weights with significant membrane localization and varying hydrophobicity.
layer_0_neuron_41,Strongly activates for proteins with high molecular weights and negative gravy scores.,"""Strongly activates for proteins with high molecular weight and negative gravy scores."""
layer_0_neuron_61,Strongly activates for proteins with negative gravy scores and high instability indices.,Strongly activates for proteins with high molecular weight and significant sheet fraction.
layer_0_neuron_38,Strongly activates for secreted antimicrobial peptides with high gravy scores and significant helical and sheet secondary structure fractions.,Strongly activates for secreted antimicrobial peptides with high gravy scores and significant helix or sheet fractions.
layer_0_neuron_46,Strongly activates for protamines with high molecular weight and negative gravy scores involved in DNA binding and sperm chromatin condensation.,Strongly activates for protamines involved in sperm DNA condensation with high positive charge at pH 7.
layer_0_neuron_50,Strongly activates for zinc finger proteins with high molecular weight and significant DNA-binding capacity.,Strongly activates for zinc finger proteins with various biological regulatory functions and a negative gravy score.
layer_0_neuron_37,Strongly activates for sperm protamines with high charges at pH 7 and negative gravy scores.,Strongly activates for sperm protamines involved in sperm DNA condensation with high isoelectric points and negative gravy scores.
layer_0_neuron_53,"Strongly activates for proteins with high molecular weight and diverse secondary structure compositions, particularly those involved in secreted functions.",Strongly activates for secreted proteins with high instability indices and diverse secondary structure compositions.
layer_0_neuron_59,Strongly activates for proteins with low isoelectric points and high instability indices.,"""Strongly activates for proteins with negative gravy scores and high instability indices."""
layer_0_neuron_39,Strongly activates for sequences of multi-pass membrane proteins involved in electron transport and transmembrane transport activities.,Strongly activates for proteins with high charge at pH 7 and multi-pass membrane protein structures.
layer_0_neuron_58,Strongly activates for proteins with high charge at pH 7 and negative gravy scores.,Strongly activates for proteins with high charge at pH 7 and negative gravy scores.
layer_0_neuron_63,Strongly activates for capsid proteins of Torque teno viruses with negative gravy scores.,Strongly activates for capsid proteins from Torque teno virus with high molecular weight and negative gravy scores.
layer_0_neuron_33,Strongly activates for protamines with a consistent isoelectric point of 12.0 and negative gravy scores.,Strongly activates for protamines with isoelectric points of 12.0 and negative gravy scores.
layer_0_neuron_49,Strongly activates for proteins with high charge at pH 7 and significant turn fraction.,"Strongly activates for proteins with low gravy scores and high charge at pH 7, indicating a preference for hydrophilic, charged residues."
layer_0_neuron_57,Strongly activates for multi-pass membrane proteins with varying isoelectric points and GRAVY scores.,Strongly activates for multi-pass membrane proteins with a high charge at pH 7.
layer_0_neuron_55,Strongly activates for multi-pass membrane proteins with significant roles in endoplasmic reticulum and cell membrane interactions and calcium binding.,"""Strongly activates for multi-pass membrane proteins involved in calcium-dependent processes."""
layer_0_neuron_62,"Strongly activates for sequences of proteins with low isoelectric points and negative gravy scores, indicating high hydrophilicity and potential involvement in transcriptional regulation.","Strongly activates for RNA polymerase-associated proteins with high molecular weights, negative gravy scores, and significant roles in transcription regulation."
layer_0_neuron_40,"Strongly activates for proteins exhibiting high molecular weight and negative gravy scores, with significant structural roles in cytoskeletal functions.",Strongly activates for proteins with high molecular weight and negative gravy scores associated with structural roles in cellular organization.
layer_0_neuron_47,Strongly activates for proline-rich glycoproteins associated with cell wall structure and root nodule development.,Strongly activates for proteins with high instability indices and negative gravy scores.
layer_0_neuron_54,Strongly activates for proteins with negative gravy scores and high charge at pH 7.,Strongly activates for sequences of antimicrobial peptides with negative gravy scores.
layer_0_neuron_65,Strongly activates for secreted proline-rich cell wall proteins with negative gravy scores.,Strongly activates for proline-rich cell wall proteins secreted from plants.
